Telugu,English
అన్నం (Annam),Food
నీటి (Neeru),Water
ఆలు (Aalu),Potato
కోడి (Kodi),Chicken
చేప (Chepa),Fish
ఆకుకూర (Aakukura),Vegetables
మొక్క (Mokka),Corn
తెలుగు (Telugu),Telugu
పుస్తకం (Pustakam),Book
పాలు (Paalu),Milk
పండు (Pandu),Fruit
నూనె (Noone),Oil
చికెన్ (Chiken),Chicken 
ఉల్లిపాయ (Ullipaya),Onion
వెల్లుల్లి (Vellulli),Garlic
మసాలా (Masala),Spice
బియ్యం (Biyyam),Rice
పప్పు (Pappu),Dal
కూర (Koora),Curry
చట్నీ (Chutney),Chutney
సాంబార్ (Sambar),Sambar
పులుసు (Pulusu),Stew
రసం (Rasam),Rasam
వడి (Vadi),Fritters
దోస (Dosa),Dosa
ఇడ్లీ (Idli),Idli
ఉప్మా (Uppuma),Upma
పొంగల్ (Pongal),Pongal
పురాణం (Puranam),Story (Mythology)
చరిత్ర (Charitra),History
కవిత్వం (Kavithvam),Poetry
నాటకం (Natakam),Drama
సంగీతం (Sangeetham),Music
నృత్యం (Nrutyam),Dance
చిత్రం (Chitram),Painting
శిల్పం (Silpam),Sculpture
వాస్తు (Vaastu),Architecture
ఉత్సవం (Utsavam),Festival
పండుగ (Panduga),Festival
వివాహం (Vivaaham),Wedding
పుట్టిన రోజు (Puttina Roju),Birthday
పరిবারం (Parivaarం),Family
స్నేహితుడు (Snehithudu),Friend (Male)
స్నేహితురాలు (Snehithuralu),Friend (Female)
ఉపాధ్యాయుడు (Upadhyayudu),Teacher (Male)
ఉపాధ్యాయురాలు (Upadhyayaralu),Teacher (Female)
డాక్టర్ (Doctor),Doctor
ఇంజనీర్ (Injiniir),Engineer
న్యాయవాది (Nyayavadi),Lawyer
కార్మికుడు (Kaarmikudu),Worker (Male)
కార్మికురాలు (Kaarmikuralu),Worker (Female)
పాట (Paata),Song
పుస్తకం (Pustakam),Book
పత్రిక (Patrika),Newspaper
పాఠశాల (Paatašaala),School
కళాశాల (Kalaasaala),College
విశ్వవిద్యాలయం (Viswa vidyaalayalam),University
పరిశోధన (Parishodhana),Research
క్రీడ (Kreeda),Sport
కబడ్డీ (Kabaddi),Kabaddi
బాగుంది (Baagundi),It's good (positive)
ధన్యవాదాలు (Dhanyavadalu),Thank you
క్షమించు (Kshaminchu),Excuse me/Sorry
ఎలా ఉన్నావు (Elaa unnaavu),How are you?
ఎక్కడికి వెళ్తున్నావు (Ekkad diki velltunnaavu),Where are you going?
ఎంత (Entha),How much
ఎప్పుడు (Eppudu),When
ఎందుకు (Endhuku),Why
ఇంకా (Inkaa),More
హాకీ (Haakee),Hockey
క్రికెట్ (Kriket),Cricket
బ్యాడ్ಮింటన్ (Byaadmintan),Badminton
టెన్నిస్ (Tenis),Tennis
కబడ్డీ (Kabaddi),Kabaddi
ప్రయాణం (Prayaanam),Travel
రైలు (Railu),Train
విమానం (Vimaanam),Airplane
జంతువు (Jantuvu),Animal
సింహం (Simham),Lion
ఏనుగు (Eenugu),Elephant
పాము (Paamu),Snake
కుక్క (Kukka),Dog
పిల్లి (Pilli),Cat
పక్షి (Pakshi),Bird
